vari,vuosi,count
7,1975,8
2,1975,116
X,1975,1
8,1975,29
3,1975,41
"",1975,4
9,1975,26
4,1975,105
Z,1975,1
5,1975,117
0,1975,24
6,1975,103
1,1975,66
7,1976,3
2,1976,148
X,1976,3
8,1976,45
3,1976,27
"",1976,12
Y,1976,1
9,1976,35
4,1976,131
5,1976,116
0,1976,52
6,1976,116
1,1976,103
7,1977,7
2,1977,193
8,1977,58
3,1977,34
"",1977,2
Y,1977,3
9,1977,40
4,1977,117
5,1977,150
0,1977,43
6,1977,153
1,1977,100
7,1978,5
2,1978,186
X,1978,2
8,1978,61
3,1978,33
"",1978,7
Y,1978,2
9,1978,43
4,1978,106
5,1978,115
0,1978,35
6,1978,136
1,1978,148
7,1979,5
2,1979,272
8,1979,79
3,1979,39
"",1979,7
9,1979,79
4,1979,102
5,1979,145
0,1979,60
6,1979,215
1,1979,237
7,1980,4
2,1980,325
X,1980,3
8,1980,162
3,1980,55
"",1980,13
Y,1980,1
9,1980,90
4,1980,99
5,1980,162
0,1980,56
6,1980,293
1,1980,254
7,1981,8
2,1981,356
8,1981,248
3,1981,48
"",1981,14
Y,1981,3
9,1981,157
4,1981,61
5,1981,181
0,1981,73
6,1981,348
1,1981,348
7,1982,10
2,1982,572
X,1982,1
8,1982,534
3,1982,20
"",1982,15
Y,1982,2
9,1982,359
4,1982,87
5,1982,253
0,1982,90
6,1982,788
1,1982,629
7,1983,10
2,1983,772
X,1983,3
8,1983,761
3,1983,37
"",1983,22
Y,1983,5
9,1983,533
4,1983,84
5,1983,362
0,1983,93
6,1983,1127
1,1983,717
7,1984,11
2,1984,1085
X,1984,1
8,1984,1139
3,1984,21
"",1984,43
Y,1984,5
9,1984,937
4,1984,43
5,1984,361
0,1984,116
6,1984,1583
1,1984,901
7,1985,16
2,1985,1605
X,1985,4
8,1985,1815
3,1985,14
"",1985,63
Y,1985,6
9,1985,1425
4,1985,50
Z,1985,1
5,1985,560
0,1985,247
6,1985,2032
1,1985,1116
7,1986,15
2,1986,2433
X,1986,3
8,1986,2194
3,1986,13
"",1986,54
Y,1986,3
9,1986,1996
4,1986,95
5,1986,640
0,1986,442
6,1986,2462
1,1986,1423
1,1987,1445
7,1987,16
2,1987,3202
X,1987,1
8,1987,3044
3,1987,28
"",1987,147
Y,1987,10
9,1987,2747
4,1987,97
Z,1987,2
5,1987,723
0,1987,615
6,1987,2937
1,1988,1708
7,1988,16
2,1988,5417
X,1988,3
8,1988,3903
3,1988,24
"",1988,221
Y,1988,9
9,1988,3860
4,1988,99
Z,1988,3
5,1988,875
0,1988,982
6,1988,3528
1,1989,1943
7,1989,31
2,1989,7302
8,1989,4364
3,1989,31
"",1989,333
Y,1989,9
9,1989,4170
4,1989,78
Z,1989,2
5,1989,798
0,1989,1340
6,1989,3548
1,1990,1310
7,1990,235
2,1990,6746
X,1990,10
8,1990,4126
3,1990,13
"",1990,129
Y,1990,10
9,1990,3573
4,1990,178
Z,1990,3
5,1990,1263
0,1990,1421
6,1990,3342
1,1991,1071
7,1991,136
2,1991,5620
X,1991,17
8,1991,3567
3,1991,10
"",1991,65
Y,1991,14
9,1991,2639
4,1991,116
5,1991,1431
0,1991,956
6,1991,2494
1,1992,900
7,1992,48
2,1992,5855
X,1992,7
8,1992,2720
3,1992,23
"",1992,45
Y,1992,9
9,1992,2192
4,1992,54
Z,1992,1
5,1992,1568
0,1992,552
6,1992,2772
1,1993,1001
7,1993,56
2,1993,6479
X,1993,1
8,1993,2259
3,1993,57
"",1993,78
Y,1993,8
9,1993,2209
4,1993,40
Z,1993,4
5,1993,2218
0,1993,537
6,1993,3083
1,1994,829
7,1994,153
2,1994,9546
X,1994,2
8,1994,2852
3,1994,31
"",1994,80
Y,1994,11
9,1994,2558
4,1994,59
Z,1994,7
5,1994,3746
0,1994,720
6,1994,3729
1,1995,1028
7,1995,249
2,1995,12688
X,1995,2
8,1995,4009
3,1995,71
"",1995,149
Y,1995,23
9,1995,3167
4,1995,156
Z,1995,2
5,1995,6532
0,1995,1006
6,1995,5530
1,1996,1081
7,1996,545
2,1996,15951
X,1996,8
8,1996,6215
3,1996,77
"",1996,288
Y,1996,31
9,1996,3881
4,1996,369
Z,1996,8
5,1996,10902
0,1996,1309
6,1996,6885
1,1997,1607
7,1997,1034
2,1997,19037
X,1997,2
8,1997,8346
3,1997,111
"",1997,356
Y,1997,123
9,1997,4876
4,1997,506
Z,1997,41
5,1997,12902
0,1997,1912
6,1997,9834
1,1998,2592
7,1998,791
2,1998,24084
X,1998,9
8,1998,10994
3,1998,310
"",1998,400
Y,1998,2358
9,1998,5867
4,1998,1015
Z,1998,929
5,1998,16190
0,1998,3027
6,1998,14794
1,1999,3372
7,1999,922
2,1999,27484
X,1999,12
8,1999,13359
3,1999,211
"",1999,471
Y,1999,6031
9,1999,6339
4,1999,2013
Z,1999,317
5,1999,17460
0,1999,4363
6,1999,19052
1,2000,4470
7,2000,372
2,2000,26074
X,2000,11
8,2000,17662
3,2000,212
"",2000,504
Y,2000,7447
9,2000,5806
4,2000,3130
Z,2000,80
5,2000,15534
0,2000,5448
6,2000,19586
1,2001,4593
7,2001,164
2,2001,20290
X,2001,6
8,2001,18039
3,2001,219
"",2001,512
Y,2001,6741
9,2001,4529
4,2001,3327
Z,2001,306
