vari,kaupunki,vuosi,lkm
Musta,Vehmaa,2015,2
Musta,Ilmajoki,2009,63
Musta,Marttila,2011,14
Musta,Pedersören kunta,2003,32
Musta,Inkoo,2015,5
Musta,Merikarvia,2006,20
Musta,Säkylä,1988,1
Musta,Kiuruvesi,2002,13
Musta,Muurame,2009,48
Musta,Lahti,2013,105
Musta,Juuka,2005,16
Musta,Espoo,2003,403
Musta,Hausjärvi,2014,9
Musta,Pori,2013,107
Musta,Pelkosenniemi,1996,1
Musta,Perho,2009,16
Musta,Orivesi,2014,15
Musta,Loppi,2007,45
Musta,Outokumpu,1986,1
Musta,Loviisa,2000,18
Musta,Viitasaari,2008,35
Musta,Kontiolahti,1997,7
Musta,Jalasjärvi,2008,48
Musta,Janakkala,2001,26
Musta,Ähtäri,1994,2
Musta,Enonkoski,2004,6
Musta,Nurmijärvi,2000,37
Musta,Kirkkonummi,2010,229
Musta,Järvenpää,2001,44
Musta,Tohmajärvi,2006,23
Musta,Halsua,2007,4
Musta,Forssa,1995,1
Musta,Jyväskylä,1993,9
Musta,Puolanka,2010,13
Musta,Tornio,2002,39
Musta,Mäntsälä,1996,1
Musta,Savonlinna,2010,152
Musta,Liperi,2014,7
Musta,Hartola,2000,6
Musta,Somero,2014,10
Musta,Vieremä,2006,25
Musta,Vaala,2014,1
Musta,Mikkeli,1975,1
Musta,Lemi,1986,1
Musta,Sipoo,1995,2
Musta,Valkeakoski,1994,6
Musta,Kihniö,1997,1
Musta,Helsinki,1984,3
Ruskea (beige),Heinola,1989,9
Ruskea (beige),Haapajärvi,2008,12
Ruskea (beige),Siikainen,2012,4
Ruskea (beige),Uusikaarlepyy,2013,3
Ruskea (beige),Laihia,1993,3
Ruskea (beige),Lohja,1987,6
Ruskea (beige),Ylitornio,2008,10
Ruskea (beige),Ylivieska,2006,42
Ruskea (beige),Alajärvi,2007,33
Ruskea (beige),Vöyri,1986,1
Ruskea (beige),Juankoski,2014,3
Ruskea (beige),Simo,2013,1
Ruskea (beige),Kurikka,2015,1
Ruskea (beige),Honkajoki,1999,1
Ruskea (beige),Soini,2007,7
Ruskea (beige),Rääkkylä,2007,7
Ruskea (beige),Tampere,2007,434
Ruskea (beige),Sodankylä,1987,1
Ruskea (beige),Pietarsaari,1986,2
Ruskea (beige),Alavieska,1990,1
Ruskea (beige),Ypäjä,1992,1
Ruskea (beige),Suomussalmi,2011,17
Ruskea (beige),Mänttä-Vilppula,2006,37
Ruskea (beige),Tervo,1989,1
Ruskea (beige),Rauma,1981,1
Ruskea (beige),Kaustinen,2009,5
Ruskea (beige),Hankasalmi,2002,5
Ruskea (beige),Sotkamo,1991,2
Ruskea (beige),Padasjoki,1983,2
Ruskea (beige),Pyhäjoki,2000,6
Ruskea (beige),Pihtipudas,2004,9
Ruskea (beige),Mustasaari,1995,4
Ruskea (beige),Askola,1998,3
Ruskea (beige),Kemi,1999,22
Ruskea (beige),Reisjärvi,2010,1
Ruskea (beige),Lapinjärvi,2013,1
Ruskea (beige),Lempäälä,1996,2
Ruskea (beige),Keuruu,1994,2
Ruskea (beige),Akaa,1987,2
Punainen,Kangasala,2012,82
Punainen,Uurainen,1994,9
Punainen,Tuusula,2014,18
Punainen,Ristijärvi,1998,15
Punainen,Rovaniemi,1999,346
Punainen,Kotka,1999,237
Punainen,Seinäjoki,2012,139
Punainen,Valkeakoski,2002,78
Punainen,Kristiinankaupunki,1987,1
Punainen,Siilinjärvi,2003,123
Punainen,Joroinen,1987,2
Punainen,Polvijärvi,1995,27
Punainen,Tammela,2004,27
Punainen,Jämsä,2003,128
Punainen,Kinnula,1993,3
Punainen,Kuortane,2014,2
Punainen,Iisalmi,2003,108
Punainen,Ikaalinen,1989,5
Punainen,Masku,2000,54
Punainen,Merijärvi,1998,5
Punainen,Leppävirta,2003,55
Punainen,Tervola,1994,7
Punainen,Teuva,2002,17
Punainen,Keitele,1992,5
Punainen,Salo,1982,3
Punainen,Hanko,1992,10
Punainen,Harjavalta,2013,1
Punainen,Paimio,2004,46
Punainen,Savitaipale,2012,14
Punainen,Pyhtää,2000,24
Punainen,Kaavi,2007,10
Punainen,Ruokolahti,2003,49
Punainen,Äänekoski,2009,45
Punainen,Nurmijärvi,2008,203
Punainen,Kokemäki,1991,12
Punainen,Rautavaara,2009,2
Punainen,Loviisa,2008,67
Punainen,Toivakka,1995,6
Punainen,Vesilahti,1990,2
Punainen,Mikkeli,1983,5
Punainen,Pielavesi,1991,8
Oranssi,Juuka,2012,1
Oranssi,Espoo,2010,28
Oranssi,Kangasala,2003,2
Oranssi,Eura,2007,2
Oranssi,Vihti,2010,2
Oranssi,Kannonkoski,2004,1
Oranssi,Kaarina,2011,2
Oranssi,Kalajoki,1996,1
Oranssi,Naantali,1976,1
Oranssi,Lappeenranta,1995,3
Oranssi,Hattula,2007,5
Oranssi,Tuusula,2005,3
Oranssi,Rovaniemi,1990,1
Oranssi,Seinäjoki,2003,12
Oranssi,Pukkila,2007,1
Oranssi,Forssa,2002,2
Oranssi,Järvenpää,2008,5
Oranssi,Paimio,1995,1
Keltainen,Parainen,2000,11
Keltainen,Masku,1979,1
Keltainen,Liminka,2001,6
Keltainen,Liperi,2001,8
Keltainen,Isokyrö,2004,4
Keltainen,Vihti,1998,4
Keltainen,Ulkomaat,1996,1
Keltainen,Kaarina,1999,15
Keltainen,Korsnäs,2001,3
Keltainen,Nurmijärvi,1987,1
Keltainen,Riihimäki,2009,3
Keltainen,Kerava,2002,15
Keltainen,Sievi,2006,1
Keltainen,Karstula,2005,5
Keltainen,Muurame,1996,2
Keltainen,Kuopio,2009,18
Keltainen,Jyväskylä,1980,2
Keltainen,Harjavalta,1992,1
Keltainen,Sauvo,2008,1
Keltainen,Pyhäjärvi,2006,1
Vihreä,Kitee,1998,52
Vihreä,Kouvola,1993,48
Vihreä,Kittilä,2000,20
Vihreä,Myrskylä,2010,2
Vihreä,Sysmä,1997,13
Vihreä,Rantasalmi,2004,12
Vihreä,Juuka,1980,1
Vihreä,Rauma,2010,18
Vihreä,Pori,1988,6
Vihreä,Espoo,1978,3
Vihreä,Iitti,1999,25
Vihreä,Närpiö,2007,8
Vihreä,Sulkava,2005,4
Vihreä,Ilmajoki,1984,1
Vihreä,Loppi,1982,1
Vihreä,Kokkola,2004,108
Vihreä,Karvia,2008,1
Vihreä,Loviisa,1975,1
Vihreä,Kolari,2010,1
Vihreä,Ulvila,2015,1
Vihreä,Huittinen,2002,18
Vihreä,Jalasjärvi,1983,1
Vihreä,Janakkala,1976,1
Vihreä,Nousiainen,2009,4
Vihreä,Posio,2010,3
Vihreä,Liperi,1989,4
Vihreä,Kempele,2015,2
Vihreä,Savonlinna,1985,4
Vihreä,Lahti,1988,2
Vihreä,Petäjävesi,2002,6
Vihreä,Nurmijärvi,1975,1
Vihreä,Orivesi,1989,1
Vihreä,Perho,1984,1
Vihreä,Laitila,1998,41
Vihreä,Pertunmaa,1995,4
Vihreä,Hartola,1975,1
Sininen,Luvia,1998,18
Sininen,Pirkkala,1988,5
Sininen,Ähtäri,2004,30
Sininen,Espoo,2013,206
Sininen,Äänekoski,2011,62
Sininen,Nurmijärvi,2010,179
Sininen,Janakkala,2011,63
Sininen,Hartola,2010,12
Sininen,Tuusniemi,1996,6
Sininen,Kristiinankaupunki,1989,4
Sininen,Säkylä,1998,16
Sininen,Pomarkku,1999,18
Sininen,Joutsa,1995,8
