020 Akaa - Akaa			8489	8577	17066
005 Alajärvi - Alajärvi			5101	5050	10151
009 Alavieska - Alavieska			1401	1290	2691
010 Alavus - Alavus			6099	5995	12094
016 Asikkala - Asikkala			4152	4219	8371
018 Askola - Askola			2547	2508	5055
019 Aura - Aura			1955	2026	3981
035 Brändö - Brändö			264	209	473
043 Eckerö - Eckerö			497	436	933
046 Enonkoski - Enonkoski			764	725	1489
047 Enontekiö - Enontekis			1009	886	1895
049 Espoo - Esbo			131597	134303	265900
050 Eura - Eura			6132	6177	12309
051 Eurajoki - Euraåminne			2990	2957	5947
052 Evijärvi - Evijärvi			1377	1266	2643
060 Finström - Finström			1263	1286	2549
061 Forssa - Forssa			8444	9027	17471
062 Föglö - Föglö			298	271	569
065 Geta - Geta			251	240	491
069 Haapajärvi - Haapajärvi			3823	3662	7485
071 Haapavesi - Haapavesi			3671	3505	7176
072 Hailuoto - Karlö			518	480	998
074 Halsua - Halsua			627	591	1218
075 Hamina - Fredrikshamn			10423	10636	21059
076 Hammarland - Hammarland			775	751	1526
077 Hankasalmi - Hankasalmi			2642	2661	5303
078 Hanko - Hangö			4544	4481	9025
079 Harjavalta - Harjavalta			3589	3779	7368
081 Hartola - Hartola			1520	1549	3069
082 Hattula - Hattula			4912	4816	9728
086 Hausjärvi - Hausjärvi			4474	4323	8797
111 Heinola - Heinola			9585	10099	19684
090 Heinävesi - Heinävesi			1872	1764	3636
091 Helsinki - Helsingfors			294338	328510	622848
097 Hirvensalmi - Hirvensalmi			1174	1149	2323
098 Hollola - Hollola			10768	11130	21898
099 Honkajoki - Honkajoki			943	846	1789
102 Huittinen - Huittinen			5215	5290	10505
103 Humppila - Humppila			1262	1179	2441
105 Hyrynsalmi - Hyrynsalmi			1279	1195	2474
106 Hyvinkää - Hyvinge			22646	23733	46379
283 Hämeenkoski - Hämeenkoski			1062	1046	2108
108 Hämeenkyrö - Tavastkyro			5303	5293	10596
109 Hämeenlinna - Tavastehus			32776	35217	67993
139 Ii - Ii			4979	4686	9665
140 Iisalmi - Idensalmi			10867	11271	22138
142 Iitti - Iitti			3446	3494	6940
143 Ikaalinen - Ikalis			3627	3665	7292
145 Ilmajoki - Ilmajoki			6162	6019	12181
146 Ilomantsi - Ilomants			2780	2710	5490
153 Imatra - Imatra			13608	14386	27994
148 Inari - Enare			3573	3230	6803
149 Inkoo - Ingå			2757	2820	5577
151 Isojoki - Storå			1146	1045	2191
152 Isokyrö - Storkyro			2447	2385	4832
164 Jalasjärvi - Jalasjärvi			3959	3928	7887
165 Janakkala - Janakkala			8467	8400	16867
167 Joensuu - Joensuu			36518	38518	75036
169 Jokioinen - Jockis			2732	2793	5525
170 Jomala - Jomala			2343	2225	4568
171 Joroinen - Jorois			2618	2562	5180
172 Joutsa - Joutsa			2438	2342	4780
174 Juankoski - Juankoski			2487	2387	4874
176 Juuka - Juuka			2626	2511	5137
177 Juupajoki - Juupajoki			1044	978	2022
178 Juva - Juva			3300	3301	6601
179 Jyväskylä - Jyväskylä			66448	69499	135947
181 Jämijärvi - Jämijärvi			995	995	1990
182 Jämsä - Jämsä			10887	10910	21797
186 Järvenpää - Träskända			19775	20716	40491
202 Kaarina - S:t Karins			15753	16388	32141
204 Kaavi - Kaavi			1614	1600	3214
205 Kajaani - Kajana			18610	19218	37828
208 Kalajoki - Kalajoki			6372	6252	12624
211 Kangasala - Kangasala			15146	15369	30515
213 Kangasniemi - Kangasniemi			2875	2828	5703
214 Kankaanpää - Kankaanpää			5849	6031	11880
216 Kannonkoski - Kannonkoski			757	718	1475
217 Kannus - Kannus			2783	2850	5633
218 Karijoki - Bötom			735	673	1408
224 Karkkila - Högfors			4439	4557	8996
226 Karstula - Karstula			2112	2159	4271
230 Karvia - Karvia			1301	1186	2487
231 Kaskinen - Kaskö			667	648	1315
232 Kauhajoki - Kauhajoki			7006	7003	14009
233 Kauhava - Kauhava			8499	8410	16909
235 Kauniainen - Grankulla			4517	4798	9315
236 Kaustinen - Kaustby			2165	2112	4277
239 Keitele - Keitele			1227	1164	2391
240 Kemi - Kemi			10803	11126	21929
320 Kemijärvi - Kemijärvi			3952	3926	7878
241 Keminmaa - Keminmaa			4312	4159	8471
322 Kemiönsaari - Kimitoön			3464	3468	6932
244 Kempele - Kempele			8410	8489	16899
245 Kerava - Kervo			17277	18052	35329
249 Keuruu - Keuruu			4960	5195	10155
250 Kihniö - Kihniö			1064	1018	2082
256 Kinnula - Kinnula			953	808	1761
257 Kirkkonummi - Kyrkslätt			19072	19229	38301
260 Kitee - Kitee			5451	5527	10978
261 Kittilä - Kittilä			3263	3211	6474
