ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
L3,2003-06-10,109,01,,,20030610,0,,,,2,154,312,312,2180,780,,01,124,7.8,1,,,Kymco,ZING 125-RF25AC/124,,5,ZING 125-RF25AC/124,04,,01,049,,,026,,1
MUU,,21,01,,,19670000,,,,,1,210,,,,,,01,590,,,,,BMW,R60/590,,,,,,01,049,,,027,,2
M1,1997-01-10,,01,,,19970110,5,5,AC,1,5,1320,1780,1780,4600,1720,,01,1780,66,4,false,,Volkswagen,5D PASSAT VARIANT 1.8 CL-351-C/263,,,PASSAT,05,,01,286,,347515,469,WVWZZZ3AZT,3
MUU,1976-09-01,13,01,,,19760000,,,,,,630,,750,,1960,,,,,,,,Sprite,ALPINE/C,,,,01,,,893,,,669,,4
M1,1984-07-09,,01,,,19840000,1,,,1,5,780,1175,1155,,1590,,01,1110,,4,,,Ford,2D FIESTA 1.1-FBD/2280,,,FIESTA,05,,01,564,,,905,,5
MUU,1983-09-22,13,01,,,19830000,,,,,,150,,350,,1580,,,,,,,,Omavalmiste,PV350/2000,,,,,,,734,,,252,,6
O1,1994-02-09,1,01,,,19940209,,,,,,170,750,750,2000,1600,,,,,,,,Valtteri,LKZ-8101,,,,,,,761,,,314,,7
M1,1990-05-08,,05,,,19900508,9,,,1,5,1060,1505,1435,4270,1680,,01,1900,88,4,,,Citroen,4D SEDAN BX 19 GTI-XBEY/2650,,,BX,09,,01,091,,,007,VF7XBEY000,8
M1,2003-08-08,,01,,5365292375,20030808,2,,AB,,5,955,,1420,3770,1640,1420,01,1140,43,4,,,Renault,2D CLIO HATCHBACK 1.2-CB0FCF/247,,,CLIO,05,,01,609,143,92938,283,VF1CB0FCF2,9
M1,2003-10-02,,01,1,4,20031002,6,,AA,,5,1462,1920,1920,4670,1760,1450,01,1990,114,4,,,Honda,4D ACCORD SEDAN 2.0-CL75/268,,,ACCORD,05,e6*2001/116*0091*00,01,837,190,238435,332,JHMCL75403,10
